,Delta,Theta,Alpha,Beta,Gamma
1,433.3683031989243,141.9370740273211,102.79333067364982,96.27098482810335,79.80231285210027
2,399.87612843762975,345.0407572565412,176.698620103738,128.42153834634286,94.55156736649633
3,190.56389931499285,160.7717559879691,188.69769770770432,106.14447049742404,92.0788978156994
4,331.2012609589049,214.54601883345202,136.69832563140477,95.8733063613169,101.11137328750192
5,314.48176832449656,256.60901709958415,152.13766262881876,86.1627903937135,79.89153909980459
6,373.4759560249665,131.40941148555186,111.74792880058388,130.49958428978508,80.15563781278732
7,297.2617307672438,267.6260292451254,252.04232715361974,122.97993324952559,79.41678198275028
8,870.5725529084434,383.42806668852404,151.6308804654109,96.05320750006501,110.14487162534351
9,385.6183792580445,228.3603914360032,230.3176593896904,96.88488127820517,96.98198119992382
10,570.452625884975,334.5136001870482,146.0905613804374,134.33181532590615,88.79249445428663
11,487.9242055697721,294.8580342720869,170.19263148627334,103.86733041470985,103.60744784928028
12,284.5397016978462,170.45771441935557,166.3122134750739,109.15980808181011,85.30634535241015
13,396.6115167868406,275.6647671270447,87.04963148406395,108.48364574391886,68.64204961917545
14,248.3033540820713,213.54434053147287,101.64228727619772,100.2940846188412,107.29424227760563
15,384.6430433777522,163.66717201965423,139.9929899371327,97.73111188282849,90.81450960147619
16,813.1270269091667,568.6007359130601,206.92762432649312,130.25278821567576,81.97153138573651
17,399.17730738903197,314.75968503283264,153.7977250023565,99.05646783778242,97.43590282440528
18,393.35955986706045,211.86653237701944,167.84932094502838,109.72978934720526,95.4368926289296
19,247.49578095615476,222.50092051664024,166.24493965795247,115.28588503976876,88.31636940695911
20,624.1298674301167,227.0614886699847,216.00491262817997,122.28860350466269,91.64415813044043
21,472.9712474742961,265.1393840841244,209.80954857686612,95.0153705224102,76.87082064999146
22,1245.8139639068936,519.1878178389545,162.5577317480139,109.33590810647492,117.3694531058207
23,312.76713747963197,171.15422353627028,152.6733521785399,139.23967384194736,84.20774454367883
24,2219.130897254251,1403.5057617904326,319.67095811502054,120.91443969881823,76.3400036987671
25,341.8800562802162,313.0265640815355,171.2594038737928,111.85192345343296,75.4302829151472
26,292.7304170644884,198.93942032943724,163.94539331662833,110.03208235231291,77.84920725367903
27,236.1580117214276,173.68685400369017,135.00438415110625,126.28696520614365,90.15046210906235
28,236.44860012970773,237.828268716312,128.1974293943131,110.45250396760734,83.45228028716627
29,331.85591344289514,167.52628974561583,134.4214981768573,88.31245971861908,79.37938177160197
30,212.0680823979003,210.8712381349153,164.82486157854805,95.0769248307154,86.1734422159162
31,352.97018527417663,289.24017175265897,135.09708631546243,135.17659572031985,104.6276321261915
32,2275.7113483926023,1375.078649321124,275.9817249261613,108.77145462786298,81.08700182285887
33,299.504680546495,478.06373300476463,143.47209344020243,126.10263331514632,73.92936766611723
34,391.84197302438446,389.31300858083705,162.47521055537692,119.11903133709711,104.34350324168358
