,Delta,Theta,Alpha,Beta,Gamma
2,541.2348307546433,409.1819603081287,211.99918314849214,115.02948987410586,116.14304939806033
3,495.08954552127324,187.39376875107445,284.00323613189477,111.2502016812871,131.53161422105404
4,635.8622162918801,375.4295072343987,189.40716103360882,131.22916061669403,107.06424802035013
5,1502.2800627182896,714.1290236824505,454.1003985783759,210.4478863565714,158.86069875730283
6,644.7657778416961,341.8951044996366,211.3298873299555,130.80410539047386,117.92648941572892
7,767.5735586846699,221.68256973828255,200.92682295454594,127.62987180515388,88.3878336293742
8,258.62068957693504,191.21885338916053,193.83668549786245,106.14583075399898,97.88235218642617
9,284.28522768914274,394.0329705165968,409.9165671767454,195.5354940003688,110.51259738361277
10,738.0793611876546,381.03010313986175,224.56371391279998,157.50358469605217,108.40605006439358
11,217.52259383746133,129.64828382802062,139.8005644561704,89.29326860483542,84.18321819222126
12,153.00699430357722,186.4390913892577,170.81532885333513,116.64016270949458,78.44757794357261
13,209.4844378290985,213.98546126419697,106.09441008906296,113.239454038322,75.06030098011348
14,294.96170750163844,295.17892664953337,179.8200086264493,123.22806396509269,75.87639152025983
15,337.2900465265914,283.19640062467704,134.97264600475748,111.92001536084736,67.79107956715478
16,431.95850184025466,181.0809629658678,121.28508985490569,116.52312738216285,90.75773578157632
17,495.10982651276544,230.10598564994575,84.78484620130475,105.25287446943031,76.26787900474352
18,945.2888106623893,446.14639449302496,316.24412498024503,132.10486828502303,126.30064083697425
19,351.4779904975117,319.8785864848326,252.97355541541316,134.4069985763646,145.28112749229655
20,376.8686084484848,195.75317263962833,181.33755203744204,134.07942757368946,91.00945128358342
21,420.4783826070563,251.9755953431548,90.3036264453292,111.37187007153489,104.42411419141544
22,221.08757132883568,210.3235423175899,198.68147705174152,122.37468845349129,88.6481373117397
23,265.86982177822,218.09321229174301,133.93527553761015,119.87296344649897,96.95256382240709
24,404.2754202472921,315.57742656578347,241.89167518305084,124.74069538373368,107.22325010069918
25,218.36874576909335,144.43481329826665,140.4100555963352,136.72122977644395,98.06419454734356
26,497.970010138297,245.81077925033918,260.6382576664294,95.89481957170742,63.079941810951496
27,469.9666473514028,217.37485312510626,178.7003771160096,115.40278695751776,89.69229023563575
28,413.72430573464845,293.65470599077145,206.27307144187967,113.90668657601118,87.3709333730772
29,485.38382500810076,205.90270302265967,128.4343732859748,105.31990339175613,77.85828888777708
30,415.43590273705473,151.90422091840622,186.16266674218895,98.20019990703656,81.67955046049465
31,333.82539805430457,140.30273238005412,141.810739696233,110.13054955095538,108.36952915605663
32,340.48340268308795,175.98842770174113,132.66640681408748,116.59612457680805,88.27077794110639
33,672.9842248209662,353.8031284628349,223.0561692368604,134.0961807288605,85.27346061496053
34,530.3621971182565,277.912935512637,182.20925539244527,92.99241663486237,94.44239700294708
35,784.7692430143547,366.5110607922202,207.5930124202513,125.35855455556602,105.38761239347846
36,599.8995761348198,392.62355873635954,253.92446390067244,134.0522149990439,81.57710693760242
37,396.02246493355807,207.54192424045476,205.38895238807362,108.60945839838034,80.34310360508542
38,506.12516269229815,294.13782415996684,179.72800833764413,116.85713238770806,93.66994530479613
39,1137.1934871743433,341.82131882919174,180.3564900423156,178.38798076071097,86.94616192544109
40,230.54415623220706,267.24500584336295,134.1130794342692,110.19127747061114,97.57731334648692
41,373.71581852099627,332.06932790624586,205.37286663426698,106.29453624362658,84.99559810319046
42,405.66015770017765,138.59671207527896,226.8048264183348,104.91520083552308,101.15427394799703
43,338.43280694730606,292.97749664184954,164.9721495037093,107.96437460346296,94.59526472039171
44,274.6108555710207,124.12712585670458,81.98738654309666,98.22949005177456,101.52724699118423
45,507.2435229063297,241.30615089760136,141.3779208562799,88.1332315329582,105.72060547559148
46,202.25954890710938,214.18826601924283,83.83848404773174,103.21473688239739,89.23296026138198
47,322.5311088921684,269.5624082811857,127.33541767003892,98.01839983369773,93.0698010421643
48,297.5953427777255,199.62728575761906,190.50956965724052,149.21149827203536,96.6681782498377
49,281.8153451821408,222.21171600176712,126.0725844308387,112.22777065390507,95.12418102182485
50,391.96008978543165,172.06877525185266,179.3109079777493,142.50898363359798,114.27833036793086
51,528.3894554687455,352.91837631124184,145.0579461149507,120.6203304796323,96.22320198201268
52,441.18209393723635,358.1647693234214,134.69555945869166,141.64081680170239,114.36105582332164
53,554.6692033021793,181.71126974219695,207.12284304654167,122.03188136872332,95.27961668533851
54,167.57517962293505,259.2681216655886,216.08635083587473,121.0333782547198,78.61531249508211
55,434.1365025611903,324.0548512082011,166.15614038829563,107.74318714859292,104.37912236481769
56,540.1725798389862,237.69255439041427,124.56004562827195,97.75653543057281,110.70313360235266
57,404.3781252952388,231.12377830704372,106.95828300750243,97.85722317285067,79.92447821799593
58,457.9099236448961,265.40436147057,265.9755051442921,122.59884455660432,95.49677244828908
59,304.13181758723704,241.91261057137103,229.71132538778429,108.72486792592504,89.73396105938589
60,365.76429605930224,135.3798589143604,124.23207180673674,106.23276735039686,88.71424365097056
61,326.8014548247336,246.9525286758068,107.89346019273876,95.29456964126408,107.91688562243728
62,432.8668795327688,288.66340052014533,189.28154938436256,141.92929814001852,102.02172149093593
63,530.6600129731476,224.62360206740033,187.08218069200998,92.61798281904541,96.31888501033703
64,402.0877073626662,204.6211875958127,167.83713156177728,114.93792895073948,96.17552674866411
65,283.00773737495393,243.18451194138197,201.20622824197508,116.41524051961687,85.7201841492889
66,272.92965418574755,148.82531380183133,133.2345659828171,117.54233077755124,84.29943877289557
67,502.68353997534643,342.03210126100754,118.05876563613518,115.69882623524109,89.96088879795461
68,345.2679540395797,234.99435807504943,133.7655281196136,90.51927370009885,95.59588270754165
69,417.98170066170485,156.20722139410069,128.6818570835498,108.1932741845665,107.77151025511625
70,235.165335254158,152.3821918952483,213.28573391975647,115.09532889152268,103.69917534781146
71,248.3042275043091,254.8042291306595,103.24373742173793,108.63038063336269,117.8961134771971
72,510.65260949115503,244.92664825310408,177.04826601579117,119.3344950766339,85.30804425279214
73,302.04836073625273,205.12758835725043,116.7105582272704,100.32361850357778,105.7959925792052
74,318.5075640261218,127.25338813729107,166.3122107163826,118.5720769443103,78.6677769328964
75,395.7474446875138,238.82182885628544,135.42522311373722,125.64867592882408,119.06806428818695
76,284.5232149295298,171.5927219480797,105.31527273843662,112.38150972104607,96.86388828177756
77,192.60920911274874,186.24481672806616,116.80424444411167,86.18973092224395,104.52340812550113
78,265.32451337235455,205.5743202163448,175.13179361978774,115.37439571206613,89.97346574323196
79,300.1217251264062,163.69930832177295,87.96841214347282,84.74472254775215,92.27863038835414
80,455.93699838106863,189.29460454216186,141.19025120853522,87.99117352894093,79.29593504786476
81,253.61664592704125,159.09772914664438,164.66945821560043,95.41369811118537,95.23993082948499
82,333.19033682948276,205.9209299822954,97.72456040098594,129.59503787188814,133.83692428973455
83,292.8642273719719,147.76990727167214,118.6437623622563,95.45335530333254,101.21470675156883
84,393.6813609987638,171.2054551193409,137.20596244689546,93.92443680189831,78.27880052437156
85,533.9240285120289,250.44274489147705,123.99558290226364,113.03524592693812,116.6688776700553
86,512.3423070239655,127.26760831186166,174.7970459096223,108.47977613624124,108.18177268679594
87,332.8552259869537,165.42401757801844,158.85749021358774,114.28211998283498,112.15546028273646
88,305.905537283817,326.79727768429893,229.84812903894772,109.74749384492956,79.784732806763
89,393.24979478431413,273.56179557631276,204.02086420825822,102.41948987624677,90.22279578947109
90,1482.65203475451,476.55665038950576,270.5614773232562,166.28790166770128,110.17992284140769
91,1403.8248621598464,413.51601963679093,181.73980076617767,192.30355669583113,131.29159942278488
92,521.5292385276407,241.80342806682512,156.18139494515407,117.00649209868966,113.03388136793943
93,415.8960343319909,242.00375324168334,148.15225279569404,118.19330048712061,103.14327353800263
94,408.98493245004124,202.2745402467051,155.66856972178215,110.12060985380585,104.71139267327969
95,312.4361809408263,193.86061549034554,152.18409444300758,118.83908433489877,106.40471652624244
96,278.90509428739836,167.29611225974782,159.91095676778565,87.63012232522026,78.49903339641811
97,245.51076318395752,216.3791235656874,147.27607576897682,103.19932190378364,112.0398901209176
98,243.07302315625384,141.21451886677139,173.94180278251642,103.63735958444859,106.31186675198948
99,302.3281273025664,277.59602620544064,170.167530783405,128.09325083454993,123.01470607308188
100,360.2348212816419,313.3141804474476,232.19185248391705,87.3027225994032,109.376115087111
101,276.16921686440446,211.39444757760194,132.2125779160614,83.02243235682236,86.44187184391589
102,262.6517083044725,162.03348595053404,174.28543479325225,119.85753590756383,118.12153840788227
103,295.4236502435533,250.78655725563686,151.15222510594896,96.4713848277273,103.77776535469599
104,483.016265627074,185.70849150471565,125.13117819340775,114.12710119398382,75.86684031460703
105,508.0333653768463,237.13895848365905,132.04811305723177,117.05219937441748,97.83613605482358
